Id,Name,Alt_Name,Family,Birth_Date,Death_Date,Earliest_Citation_Date,Latest_Citation_Date,Office Association,Office_Titles,Family_Relation_Type_Note,Family_Relation_Type,Family_Relation_Name,Office_Start_1,Office_End_1,Office_Start_2,Office_End_2,Regions_1,Regions_2,Note,Source (Secondary),Source (Primary)
66,Agostino Tasso,"Augustin; Augustino de Tassis, Augustino Sandri",Tassis,,,1496,1507,Papal Post,Postmaster,,,,,[1507],,,Lazio,Rome,,,Tass.D.7.13
67,Coriolano,,,,,1507,1507,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Alto Adige,Florence;Bolzano,,,"Machiavelli, Niccolò and Gio Battista Baldelli Boni ed (1810-1811) Opere di Nicolò Machiavelli cittadino e segretario Fiorentino, 11 vols, Milano: Co’ tipi di Luigi Mussi."
68,Garcia de Penafiel,Garsia,Penafiel,,1507,1507,1507,Spanish Post in Rome,Postmaster,,,,1500,1507,,,Spain;Lazio,Rome;Valencia,"""Es wurde dem Spanier Garsia de Penafiel aus der Diozese Valencia ubertragen, einem Landsmanne des damaligen Papstes.""; Original rightsholder to postal highway","Migliavacca, Giorgio, and Tarcisio Bottani. Simone Tasso e le poste di Milano nel Rinascimento. Bergamo, Italy: Museo dei Tasso e della Storia Postale and Corponove, 2007.;Beck, Wilhelm. “Ursprung und Ende der fremden Posten in Rom.” Archiv für das Post- und Fernmeldewesen, no. 1–7 (1959): 564–588.",
69,Ortolano,,,,,1507,1507,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany;Alto Adige,Florence;Trent,,,"Machiavelli, Niccolò and Gio Battista Baldelli Boni ed (1810-1811) Opere di Nicolò Machiavelli cittadino e segretario Fiorentino, 11 vols, Milano: Co’ tipi di Luigi Mussi."
70,Domenico Tasso,,Tassis,,,1508,1508,,,,,,,,,,Lombardy,Bergamo,Buried in Bergamo Santo Spirito,,
71,Alois Valleoleti,,Valleoleti,,,1507,1509,Spanish Post in Rome,Postmaster,,,,1507,1509,,,Spain;Lazio,Rome,"Inherits rights from Garcia de Penafiel, then leases title to Tassis; Also from Valencia; ""Er machte das ihm allein zustehende Recht, Kuriere nach spanien zu entsenden, geltend und zwang...""","Migliavacca, Giorgio, and Tarcisio Bottani. Simone Tasso e le poste di Milano nel Rinascimento. Bergamo, Italy: Museo dei Tasso e della Storia Postale and Corponove, 2007., p. 89",
72,Elisabetta Tassis,,Tassis,,,1509,1509,,,"Wife of Bono di Bordogna; Daughter of Simone de Tassis, married to Bonus von Bordogna, mother to Lorenz Bordogna von Taxis?",Spouse,Bono di Bordogna,,,,,,,"Daughter of Simone de Tassis, married to Bonus von Bordogna, mother to Lorenz Bordogna von Taxis?","Tarcisio Bottani, Gianfranco Lazzarini, et al., Genealogia Tasso (Bergamo, Italy: Santini Pubblicità, July 2007), https://www.museodeitasso.com/export /sites/default/documenti/albero-genealogico-casato-tasso.pdf.; Behringer, Wolfgang. Im Zeichen des Merkur: Reichsport und Kommunikationsrevolution in der Frühen Neuzeit. Göttingen, Germany: Vandenhoeck & Ruprecht, 2003.",
73,Honophrius Balestarii,Honuphrius Balestarii,Balestra,,,1511,1511,Papal Cursores,Papal Cursor,,,,,,,,Lazio,Rome,,"Bullarum Diplomatum et Privilegiorum Sanctorum Romanorum Pontificum, Taurinensis Editio",
74,Ioannes Bernardi,,Bernardi,,,1511,1511,Papal Cursores,Papal Cursor,,,,,,,,Lazio,Rome,,"Bullarum Diplomatum et Privilegiorum Sanctorum Romanorum Pontificum, Taurinensis Editio",
75,Petrus Mengivar,,Mengivar,,,1511,1511,Papal Cursores,Papal Cursor,,,,,,,,Lazio,Rome,,"Bullarum Diplomatum et Privilegiorum Sanctorum Romanorum Pontificum, Taurinensis Editio",
76,Domenico de Tassis,,Tassis,1478,,1478,1512,State in Bergamo;Spanish Post of Rome,Councilor;Postmaster,"Wife Elisabetta Rotta; not entirely clear if same individual, but seems likely; ""Er kaufte um 370 Goldgulden das vornehme Haus der im Jahre 1511 gestorbenen Imperia beim Cortile de Chigi""",Spouse,Elisabetta Rotta,1512,,1519,,Lazio;Lombardy;Veneto,Rome;Bergamo,"Wife Elisabetta Rotta; not entirely clear if same individual, but seems likely; ""Er kaufte um 370 Goldgulden das vornehme Haus der im Jahre 1511 gestorbenen Imperia beim Cortile de Chigi""","Tarcisio Bottani, Gianfranco Lazzarini, et al., Genealogia Tasso (Bergamo, Italy: Santini Pubblicità, July 2007), https://www.museodeitasso.com/export /sites/default/documenti/albero-genealogico-casato-tasso.pdf.",
77,Sebastian Bonamigo,,Bonamigo,,,1513,1513,Venetian Company of Couriers in Rome,Magister Cursorum,,,,1513,,,,Veneto;Lazio,Venice;Rome,,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, I.1"
78,Elena de Tassis,Elena Zanchi,Tassis;Zanchi,,,1514,1514,,,Daughter of Ruggero Tassis; Married to Giovanni Antonio Zanchi,Child,Ruggero Tassis,,,,,,,Married to Giovanni Antonio Zanchi,,
79,Elisabetta Tassis,,Tassis,,,1514,1514,,,Daughter of Ruggero Tassis,Child,Ruggero Tassis,,,,,,,,,
80,Ruggero Tasso,,Tassis,,1514,1514,1514,State in Cornello,Notary,,,,,,,,Lombardy,,,"Tarcisio Bottani, Gianfranco Lazzarini, et al., Genealogia Tasso (Bergamo, Italy: Santini Pubblicità, July 2007), https://www.museodeitasso.com/export /sites/default/documenti/albero-genealogico-casato-tasso.pdf.",
81,Hubert Iacobi,,Iacobi,,,1515,1515,Papal Cursores,Papal Cursor,,,,,,,,Lazio,Rome,,"Bullarum Diplomatum et Privilegiorum Sanctorum Romanorum Pontificum, Taurinensis Editio",
82,Ioannes Valtrini,,Valtrini,,,1515,1515,Papal Cursores,Papal Cursor,,,,,,,,Lazio,Rome,,"Bullarum Diplomatum et Privilegiorum Sanctorum Romanorum Pontificum, Taurinensis Editio",
83,Lodovico Suardo,,Suardo,,,1515,1515,Spanish Post of Milan,,,,,,,,,Lombardy,Milan,,,
84,Magdalena Tassis,,Tassis,,,1515,1515,,,Wife of Janetto Tassis,Spouse,Janetto Tassis,,,,,,,Mentioned as surviving in will,"Migliavacca, Giorgio, and Tarcisio Bottani. Simone Tasso e le poste di Milano nel Rinascimento. Bergamo, Italy: Museo dei Tasso e della Storia Postale and Corponove, 2007.",
85,Benedetto,,Benedetto,,,1516,1516,Venetian Diplomatic Courier,Courier,,,,,,,,Veneto,Venice,,"Sanudo, Marino. I diarii di Marino Sanuto. Edited by Rinaldo Fulin, et al. Venice: F. Visentini, 1889.",
86,Miorato,,Miorato,,,1516,1516,Cavallari of Rome,Cavallaro,,,,,,,,Lazio,Rome,,"Sanudo, Marino. I diarii di Marino Sanuto. Edited by Rinaldo Fulin, et al. Venice: F. Visentini, 1889.",
